Gene	ID	Tumor	Normal	log2FC	Qvalue					
MRPS23	ENSG00000181610.12	53.690	18.880	1.460	3.44e-131
PHLDA2	ENSG00000181649.5	47.891	4.900	3.051	3.25e-106
TMEM252	ENSG00000181778.4	0.410	2.670	-1.380	3.91e-21
SLC9A9	ENSG00000181804.14	0.750	5.320	-1.853	1.95e-127
SLC35C1	ENSG00000181830.8	25.890	10.350	1.244	2.23e-56
SLC2A4	ENSG00000181856.14	0.940	27.521	-3.878	2.99e-104
SNRPE	ENSG00000182004.12	172.612	68.119	1.329	6.14e-109
RTKN2	ENSG00000182010.10	1.970	0.140	1.381	1.92e-136
TMEM259	ENSG00000182087.12	77.498	162.432	-1.058	4.83e-38
TMEM30B	ENSG00000182107.6	16.310	2.360	2.365	9.33e-39
RP11-69E11.4	ENSG00000182109.7	1.320	14.950	-2.781	7.37e-127
FAM89A	ENSG00000182118.5	8.660	2.620	1.416	6.73e-94
RGMA	ENSG00000182175.13	1.800	45.949	-4.068	2.27e-113
UBA7	ENSG00000182179.10	22.430	59.441	-1.367	5.73e-65
MRPS16	ENSG00000182180.13	92.142	42.929	1.084	6.56e-81
LDOC1	ENSG00000182195.7	2.030	13.150	-2.223	7.98e-79
SHMT2	ENSG00000182199.10	115.072	26.690	2.068	5.18e-155
MOB2	ENSG00000182208.12	27.310	64.780	-1.216	8.96e-46
UBE2E2	ENSG00000182247.9	4.940	23.321	-2.034	5.67e-45
SYNM	ENSG00000182253.14	1.400	261.143	-6.771	9.04e-110
FIGN	ENSG00000182263.13	0.070	1.190	-1.033	1.08e-91
TMIGD1	ENSG00000182271.12	0.050	1.880	-1.456	3.51e-29
SPACA6P	ENSG00000182310.12	1.580	15.230	-2.653	7.07e-86
TSHZ2	ENSG00000182463.15	0.870	2.990	-1.093	2.17e-23
KPNA2	ENSG00000182481.8	85.419	13.940	2.532	8.11e-170
XKRX	ENSG00000182489.8	2.090	0.200	1.365	1.97e-119
FES	ENSG00000182511.11	3.640	14.270	-1.719	7.54e-74
MXRA7	ENSG00000182534.13	38.681	170.697	-2.113	2.41e-32
SPNS3	ENSG00000182557.7	2.000	0.250	1.263	2.80e-131
SATB1	ENSG00000182568.16	8.070	20.210	-1.226	1.23e-55
NXPH3	ENSG00000182575.7	0.740	6.970	-2.196	1.65e-55
EPHB3	ENSG00000182580.2	53.880	5.940	2.983	5.89e-121
NDN	ENSG00000182636.5	4.200	24.529	-2.296	1.02e-92
GALR2	ENSG00000182687.3	0.100	2.390	-1.624	3.91e-54
IGIP	ENSG00000182700.4	2.880	7.750	-1.173	1.74e-76
HOXB4	ENSG00000182742.5	1.670	5.440	-1.270	1.26e-37
TMEM198B	ENSG00000182796.12	9.050	22.890	-1.249	9.40e-53
LCK	ENSG00000182866.16	5.420	2.080	1.060	2.92e-26
RP11-181G12.2	ENSG00000182873.5	1.500	4.320	-1.090	4.44e-74
TCEAL7	ENSG00000182916.7	1.210	10.750	-2.411	2.16e-88
GJC1	ENSG00000182963.9	0.990	13.280	-2.843	7.83e-71
ZNF662	ENSG00000182983.14	0.410	5.890	-2.289	2.21e-129
PYCR1	ENSG00000183010.16	104.589	7.290	3.671	2.00e-166
SPNS2	ENSG00000183018.8	32.280	10.000	1.597	2.88e-69
SLC8A1	ENSG00000183023.18	0.990	4.230	-1.394	3.41e-38
OTOP2	ENSG00000183034.12	0.010	1.170	-1.103	2.05e-42
PCP4	ENSG00000183036.10	1.440	30.830	-3.705	2.07e-35
SLC25A10	ENSG00000183048.11	56.281	6.600	2.914	2.73e-74
FANCF	ENSG00000183161.4	8.350	2.120	1.583	5.30e-145
RUVBL2	ENSG00000183207.12	105.741	37.281	1.479	1.63e-132
PRR36	ENSG00000183248.11	1.820	0.230	1.197	1.97e-83
PLGLB1	ENSG00000183281.14	0.870	3.350	-1.218	1.33e-71
SEP15	ENSG00000183291.15	203.798	84.882	1.254	1.11e-74
FHL3	ENSG00000183386.9	10.760	30.530	-1.423	5.47e-18
RIPK4	ENSG00000183421.11	6.920	1.810	1.495	2.19e-91
NPIPA1	ENSG00000183426.15	28.709	124.369	-2.077	9.48e-66
RP11-958N24.1	ENSG00000183458.13	3.650	14.530	-1.740	1.67e-62
PI4KAP2	ENSG00000183506.16	6.630	20.880	-1.520	1.03e-71
PSMG1	ENSG00000183527.11	78.962	26.521	1.539	2.65e-117
PCBP3	ENSG00000183570.16	1.270	6.950	-1.808	1.60e-58
TNFAIP8L3	ENSG00000183578.5	1.300	5.290	-1.451	1.50e-81
ZNRF3	ENSG00000183579.15	8.380	2.640	1.366	1.19e-99
FBXL7	ENSG00000183580.9	1.240	10.330	-2.339	2.66e-91
FAM101B	ENSG00000183688.4	3.700	8.940	-1.081	5.77e-43
TRIM52	ENSG00000183718.5	5.710	12.520	-1.011	5.99e-54
LHFP	ENSG00000183722.7	6.990	30.619	-1.985	1.74e-49
MACC1	ENSG00000183742.12	9.180	0.190	3.097	2.06e-222
TRAIP	ENSG00000183763.8	6.340	2.080	1.253	2.12e-117
ZNF703	ENSG00000183779.6	80.181	35.931	1.136	1.01e-59
NPIPA5	ENSG00000183793.13	5.220	23.710	-1.990	6.47e-40
LIN9	ENSG00000183814.15	4.130	1.350	1.126	4.78e-149
NUDT14	ENSG00000183828.14	40.251	12.790	1.581	4.69e-89
MAATS1	ENSG00000183833.16	0.140	2.850	-1.756	7.28e-90
GPR39	ENSG00000183840.6	7.610	0.580	2.446	4.14e-52
FAM3B	ENSG00000183844.16	7.140	0.300	2.647	4.27e-59
IQGAP3	ENSG00000183856.10	12.850	1.250	2.622	1.07e-136
UTY	ENSG00000183878.15	0.250	3.120	-1.721	1.97e-7
NPIPA5	ENSG00000183889.12	52.570	194.455	-1.867	2.12e-55
PRKX	ENSG00000183943.5	9.610	4.130	1.048	7.52e-62
SMTN	ENSG00000183963.18	45.100	642.476	-3.803	1.27e-68
TMPRSS2	ENSG00000184012.11	68.090	13.260	2.277	4.50e-25
TBX1	ENSG00000184058.12	0.130	1.320	-1.038	1.76e-77
NIPSNAP1	ENSG00000184117.11	45.809	14.550	1.590	2.37e-90
NR2C2AP	ENSG00000184162.14	32.491	13.990	1.160	3.78e-116
GPR173	ENSG00000184194.5	0.330	2.080	-1.212	2.62e-70
TSPYL2	ENSG00000184205.14	7.470	82.002	-3.293	2.54e-98
GOLGA6L4	ENSG00000184206.11	0.680	3.720	-1.490	3.02e-91
IRAK1	ENSG00000184216.11	80.839	30.210	1.391	7.80e-113
POU6F1	ENSG00000184271.15	2.020	12.260	-2.134	1.93e-95
TACSTD2	ENSG00000184292.6	5.960	0.670	2.059	6.58e-83
PRKD1	ENSG00000184304.14	1.090	5.460	-1.628	2.34e-45
MROH7	ENSG00000184313.19	0.600	6.830	-2.291	5.43e-119
SRPK3	ENSG00000184343.10	1.540	5.370	-1.326	1.43e-30
SLIT3	ENSG00000184347.14	1.740	13.050	-2.358	9.08e-68
PKP3	ENSG00000184363.9	84.988	4.990	3.844	1.54e-70
PLA2G6	ENSG00000184381.18	8.700	25.021	-1.424	6.44e-60
TOP1MT	ENSG00000184428.12	45.361	12.700	1.759	3.54e-139
WDR27	ENSG00000184465.15	8.440	26.489	-1.542	1.16e-63
HDDC3	ENSG00000184508.10	22.820	7.960	1.411	6.21e-97
LPAR5	ENSG00000184574.9	9.510	1.640	1.993	1.47e-35
XPOT	ENSG00000184575.11	28.839	13.770	1.014	1.26e-77
OR7E14P	ENSG00000184669.7	4.630	0.940	1.537	4.94e-35
HIST2H2BE	ENSG00000184678.9	4.610	12.550	-1.272	1.06e-42
SEP5	ENSG00000184702.17	3.600	12.530	-1.556	3.63e-52
FAM110C	ENSG00000184731.5	7.370	1.380	1.814	7.90e-35
SMIM10	ENSG00000184785.5	1.210	9.180	-2.204	8.10e-77
TMED9	ENSG00000184840.11	204.775	79.561	1.353	8.28e-83
TCEAL2	ENSG00000184905.8	0.100	26.600	-4.649	7.79e-104
JAG2	ENSG00000184916.8	15.580	6.710	1.105	1.56e-48
PTRHD1	ENSG00000184924.5	33.611	15.880	1.036	1.48e-51
USP18	ENSG00000184979.9	6.150	2.070	1.220	3.11e-68
F8	ENSG00000185010.13	1.720	4.880	-1.112	1.24e-34
SLC24A3	ENSG00000185052.11	2.730	9.960	-1.555	1.66e-39
FLRT2	ENSG00000185070.10	0.700	2.650	-1.102	5.19e-46
MANEAL	ENSG00000185090.14	13.420	2.530	2.030	3.06e-125
NRBP2	ENSG00000185189.15	7.970	51.282	-2.543	8.35e-88
PRMT3	ENSG00000185238.12	12.450	5.020	1.160	2.97e-125
PRPF39	ENSG00000185246.17	9.400	21.800	-1.132	6.43e-60
UBALD2	ENSG00000185262.8	83.360	36.949	1.152	1.48e-59
NOTUM	ENSG00000185269.11	3.670	0.040	2.167	1.07e-80
WBSCR17	ENSG00000185274.11	0.330	8.330	-2.810	2.73e-90
TMEM105	ENSG00000185332.6	2.320	0.100	1.594	1.89e-137
GAS2L1	ENSG00000185340.15	8.150	18.360	-1.081	2.34e-56
TNFAIP8L1	ENSG00000185361.8	7.640	16.670	-1.032	3.26e-24
MAPK11	ENSG00000185386.14	1.640	4.750	-1.123	3.93e-43
MRPL30	ENSG00000185414.19	25.210	10.810	1.150	1.31e-135
TARSL2	ENSG00000185418.15	3.820	9.380	-1.107	4.55e-59
SMYD3	ENSG00000185420.18	17.170	7.320	1.127	6.88e-112
METTL7A	ENSG00000185432.11	14.000	74.832	-2.338	1.12e-116
IFNLR1	ENSG00000185436.11	4.040	0.460	1.787	8.50e-56
SH3BGR	ENSG00000185437.13	2.750	17.470	-2.300	1.18e-72
KRT6B	ENSG00000185479.5	2.070	0.110	1.468	1.33e-60
PARPBP	ENSG00000185480.11	9.860	1.050	2.405	2.57e-181
ROR1	ENSG00000185483.11	0.440	2.670	-1.350	2.77e-55
SDHAP1	ENSG00000185485.14	11.180	33.880	-1.518	1.60e-70
RP11-504P24.3	ENSG00000185495.10	2.380	6.530	-1.156	1.75e-59
L3MBTL1	ENSG00000185513.14	2.550	8.530	-1.425	3.18e-44
PRKG1	ENSG00000185532.14	1.270	6.750	-1.771	1.21e-67
LSAMP	ENSG00000185565.11	1.410	5.230	-1.370	5.91e-27
OLFML2A	ENSG00000185585.19	2.640	12.630	-1.905	2.51e-58
P4HB	ENSG00000185624.14	643.813	260.727	1.301	7.30e-94
PBX1	ENSG00000185630.18	7.440	30.290	-1.890	8.11e-64
ZFP36L1	ENSG00000185650.9	91.303	196.515	-1.098	1.73e-14
MORN5	ENSG00000185681.12	0.050	22.820	-4.504	1.97e-87
KCNIP4	ENSG00000185774.14	0.410	2.400	-1.270	9.93e-75
SLC52A2	ENSG00000185803.8	91.170	25.460	1.800	9.63e-132
RP4-592A1.2	ENSG00000185839.3	2.640	0.570	1.213	4.14e-107
NPIPB4	ENSG00000185864.16	17.830	50.530	-1.452	6.42e-50
THNSL1	ENSG00000185875.12	4.000	1.120	1.238	1.13e-148
IFITM1	ENSG00000185885.15	606.724	144.536	2.062	1.98e-80
KLHDC8B	ENSG00000185909.14	6.270	48.281	-2.761	8.83e-85
RNPC3	ENSG00000185946.15	6.290	21.240	-1.609	1.48e-82
LEMD1	ENSG00000186007.9	2.730	0.080	1.788	2.46e-110
KRT5	ENSG00000186081.11	0.190	1.580	-1.116	3.23e-19
PIP5K1C	ENSG00000186111.8	11.920	37.940	-1.592	1.75e-53
KIF18B	ENSG00000186185.13	6.990	0.650	2.276	3.67e-117
FFAR4	ENSG00000186188.10	2.300	0.570	1.072	1.65e-7
SAPCD2	ENSG00000186193.8	27.350	0.720	4.043	7.02e-182
SOWAHB	ENSG00000186212.3	4.070	0.250	2.020	5.79e-31
GPAT2	ENSG00000186281.12	0.700	3.050	-1.252	5.84e-38
MST1P2	ENSG00000186301.8	0.470	4.920	-2.010	3.67e-98
NAP1L3	ENSG00000186310.9	0.350	2.030	-1.166	8.24e-54
PRELID2	ENSG00000186314.11	17.680	4.280	1.823	1.93e-42
THBS2	ENSG00000186340.14	20.170	9.330	1.035	1.11e-10
GOLGA8R	ENSG00000186399.10	0.200	2.100	-1.369	1.23e-116
NAP1L2	ENSG00000186462.8	0.100	2.350	-1.607	4.47e-151
GNG2	ENSG00000186469.8	3.280	11.570	-1.554	3.49e-69
KLK12	ENSG00000186474.15	1.820	0.090	1.371	1.43e-56
INSIG1	ENSG00000186480.12	38.529	15.970	1.220	4.99e-47
MIR22HG	ENSG00000186594.12	6.410	29.490	-2.041	3.14e-84
HPDL	ENSG00000186603.5	10.940	0.740	2.779	1.36e-85
PDE2A	ENSG00000186642.15	0.950	24.020	-3.682	3.10e-153
MST1L	ENSG00000186715.10	0.670	18.621	-3.554	6.05e-137
SPIN4	ENSG00000186767.5	5.170	1.980	1.050	3.18e-116
ZSCAN30	ENSG00000186814.12	2.800	8.980	-1.393	1.02e-101
TRABD2A	ENSG00000186854.10	60.719	5.740	3.195	8.73e-58
MAPT	ENSG00000186868.15	0.270	4.050	-1.991	2.13e-67
ERCC6L	ENSG00000186871.6	2.490	0.180	1.564	1.93e-184
ZDHHC17	ENSG00000186908.14	4.710	14.030	-1.396	7.82e-66
KANK3	ENSG00000186994.11	0.980	4.720	-1.531	2.24e-72
ESPN	ENSG00000187017.14	21.259	4.940	1.906	6.04e-16
PLCD1	ENSG00000187091.13	7.540	19.110	-1.236	6.87e-66
MITF	ENSG00000187098.14	1.500	9.410	-2.058	2.99e-65
FOXD3	ENSG00000187140.5	0.010	1.490	-1.302	5.20e-79
SHTN1	ENSG00000187164.17	12.940	5.310	1.144	7.81e-66
MT1X	ENSG00000187193.8	67.381	136.835	-1.011	4.18e-19
GCNT1	ENSG00000187210.12	10.300	1.540	2.153	1.23e-84
FNBP1	ENSG00000187239.16	7.820	62.240	-2.842	1.92e-104
MAGED4B	ENSG00000187243.16	2.620	14.360	-2.085	3.79e-53
WDR86	ENSG00000187260.15	0.700	7.280	-2.284	1.38e-103
MAGI2	ENSG00000187391.17	0.480	2.270	-1.144	6.14e-96
PTMA	ENSG00000187514.14	2168.076	948.431	1.192	9.70e-61
NANOS3	ENSG00000187556.7	1.840	0.420	1.000	3.50e-54
PLEKHN1	ENSG00000187583.10	2.100	0.230	1.334	2.01e-124
MAGEH1	ENSG00000187601.4	4.910	15.460	-1.478	3.22e-52
ISG15	ENSG00000187608.8	73.889	29.629	1.290	3.61e-39
TMSB4XP8	ENSG00000187653.11	19.521	7.050	1.350	1.41e-14
KBTBD12	ENSG00000187715.13	0.100	1.280	-1.052	2.00e-34
FANCA	ENSG00000187741.14	20.530	3.850	2.150	3.51e-111
PEAR1	ENSG00000187800.13	1.120	5.300	-1.571	3.68e-93
TMEM220	ENSG00000187824.8	1.460	9.570	-2.103	3.23e-140
LCN10	ENSG00000187922.13	0.120	4.790	-2.370	6.16e-117
LDLRAD2	ENSG00000187942.11	0.750	8.420	-2.428	5.92e-107
KLHL17	ENSG00000187961.13	4.060	10.570	-1.193	2.71e-34
RILPL1	ENSG00000188026.11	3.360	8.950	-1.190	5.32e-25
MAPK12	ENSG00000188130.13	1.980	6.330	-1.298	3.62e-39
ZNF626	ENSG00000188171.14	0.420	2.460	-1.285	3.96e-79
HNRNPU-AS1	ENSG00000188206.6	4.150	18.939	-1.953	1.32e-79
ZNF793	ENSG00000188227.12	0.330	2.270	-1.298	2.54e-99
TUBB4B	ENSG00000188229.5	388.884	172.063	1.172	3.38e-55
HES4	ENSG00000188290.10	4.940	11.900	-1.119	1.66e-32
ZP3	ENSG00000188372.14	16.290	2.660	2.240	2.18e-128
H2AFX	ENSG00000188486.3	53.430	13.880	1.871	3.50e-114
INSC	ENSG00000188487.11	0.540	3.180	-1.441	4.92e-84
SERPINA5	ENSG00000188488.13	0.340	2.640	-1.442	6.31e-81
FAM83G	ENSG00000188522.14	10.520	3.390	1.392	2.35e-41
HBA2	ENSG00000188536.12	14.810	42.200	-1.450	6.58e-8
NPIPP1	ENSG00000188599.17	8.960	52.059	-2.413	1.33e-65
SUMO2	ENSG00000188612.11	283.675	140.730	1.006	5.24e-63
S100A16	ENSG00000188643.10	215.522	88.738	1.271	3.83e-43
ZDHHC9	ENSG00000188706.12	53.719	12.950	1.972	5.16e-149
SMIM15	ENSG00000188725.7	52.261	15.690	1.674	6.00e-106
PRELP	ENSG00000188783.5	1.430	62.042	-4.697	1.56e-120
ZDHHC11	ENSG00000188818.12	1.500	6.230	-1.532	5.90e-36
LRRK2	ENSG00000188906.13	0.360	3.470	-1.717	1.16e-88
GJB3	ENSG00000188910.7	18.420	0.500	3.695	1.90e-124
HACD4	ENSG00000188921.13	0.650	2.760	-1.188	4.18e-90
USP32P1	ENSG00000188933.14	0.550	15.480	-3.410	2.61e-61
FAM111B	ENSG00000189057.10	7.350	0.450	2.526	4.99e-86
SF3B3	ENSG00000189091.12	176.545	73.868	1.246	1.45e-96
SP6	ENSG00000189120.4	6.610	0.380	2.463	2.85e-120
PLAC9	ENSG00000189129.13	2.070	14.200	-2.308	1.37e-121
UBE2Q2P1	ENSG00000189136.8	0.910	5.100	-1.675	7.29e-83
HN1	ENSG00000189159.15	279.847	30.689	3.148	1.49e-91
MAOA	ENSG00000189221.9	35.360	91.772	-1.351	4.92e-31
FAM150B	ENSG00000189292.15	0.360	3.820	-1.825	4.24e-117
RRP7A	ENSG00000189306.10	34.080	12.750	1.351	1.60e-103
S100A14	ENSG00000189334.8	192.164	18.290	3.324	1.07e-42
RPS2P46	ENSG00000189343.7	24.519	8.920	1.363	4.58e-115
FAM179A	ENSG00000189350.12	0.190	1.560	-1.105	2.03e-75
KIAA0408	ENSG00000189367.14	0.280	4.560	-2.119	1.46e-98
HMGB1	ENSG00000189403.14	541.567	233.891	1.208	3.19e-75
MMP23B	ENSG00000189409.12	2.350	7.220	-1.295	3.22e-63
RASSF10	ENSG00000189431.7	1.720	0.100	1.306	1.97e-89
GJB4	ENSG00000189433.5	1.410	0.020	1.240	4.11e-102
KIAA0895L	ENSG00000196123.12	7.570	21.330	-1.382	2.77e-52
SERPINA3	ENSG00000196136.16	0.790	9.690	-2.578	4.82e-61
PLEKHG4	ENSG00000196155.12	14.490	4.870	1.400	2.92e-64
FAT4	ENSG00000196159.11	0.610	3.460	-1.470	2.82e-54
SFTA2	ENSG00000196260.3	3.470	0.000	2.160	1.12e-102
PPIA	ENSG00000196262.13	2362.829	883.630	1.418	7.13e-74
ZNF471	ENSG00000196263.7	0.190	4.950	-2.322	9.57e-120
ZNF493	ENSG00000196268.11	2.210	6.130	-1.151	4.27e-90
GIMAP5	ENSG00000196329.10	3.770	11.420	-1.381	4.23e-66
NUDT11	ENSG00000196368.4	0.270	1.800	-1.141	7.10e-56
FUT4	ENSG00000196371.3	13.630	3.030	1.860	1.63e-117
SLC35F1	ENSG00000196376.10	0.090	1.570	-1.237	3.34e-76
ZNF34	ENSG00000196378.11	2.590	6.570	-1.076	7.70e-30
ZNF781	ENSG00000196381.10	0.270	2.170	-1.320	1.34e-70
INCA1	ENSG00000196388.8	0.770	2.590	-1.020	5.05e-142
EVL	ENSG00000196405.12	12.240	43.380	-1.745	1.56e-67
NOXO1	ENSG00000196408.11	19.061	1.920	2.780	3.36e-55
EPHB4	ENSG00000196411.9	51.271	20.150	1.305	1.44e-106
YRDC	ENSG00000196449.3	17.460	7.480	1.122	3.12e-113
IPO4	ENSG00000196497.15	31.330	12.680	1.241	1.19e-87
PRPF40A	ENSG00000196504.15	49.810	24.370	1.002	1.42e-82
TCEAL3	ENSG00000196507.10	7.400	44.230	-2.429	4.71e-77
MAN2A2	ENSG00000196547.14	17.480	36.801	-1.032	1.03e-39
MME	ENSG00000196549.10	2.730	0.430	1.383	2.32e-52
FAM72A	ENSG00000196550.10	4.140	0.920	1.421	4.38e-159
LAMA2	ENSG00000196569.11	1.420	9.100	-2.061	1.54e-81
XRCC2	ENSG00000196584.2	2.320	0.240	1.421	2.19e-183
MYO6	ENSG00000196586.13	27.040	8.230	1.603	1.05e-91
MMP1	ENSG00000196611.4	25.550	0.210	4.456	1.82e-116
TCF4	ENSG00000196628.13	4.120	13.230	-1.475	2.00e-45
SDHAF3	ENSG00000196636.7	23.410	9.220	1.256	6.22e-73
LINC00173	ENSG00000196668.3	0.320	1.910	-1.140	8.40e-50
HSH2D	ENSG00000196684.12	12.450	3.610	1.545	2.59e-35
PDXDC2P	ENSG00000196696.12	7.830	18.610	-1.151	6.99e-41
ZNF512B	ENSG00000196700.7	0.970	7.110	-2.042	2.56e-86
FAM150A	ENSG00000196711.8	1.540	0.110	1.194	1.12e-50
VKORC1L1	ENSG00000196715.5	17.460	8.050	1.028	8.00e-102
ZNF418	ENSG00000196724.12	0.240	3.700	-1.922	4.55e-102
HLA-DQA1	ENSG00000196735.11	22.910	8.600	1.317	6.19e-15
S100A2	ENSG00000196754.10	13.070	1.920	2.269	8.90e-116
SNHG17	ENSG00000196756.11	61.328	24.831	1.271	3.13e-66
ZFP28	ENSG00000196867.7	0.690	3.600	-1.445	2.92e-71
KIAA1211L	ENSG00000196872.10	6.280	1.790	1.384	1.06e-63
LAMB3	ENSG00000196878.12	57.919	3.650	3.663	1.13e-81
PDLIM7	ENSG00000196923.13	38.239	421.795	-3.430	5.57e-54
FLNA	ENSG00000196924.14	210.065	3260.098	-3.950	1.99e-64
LAGE3	ENSG00000196976.6	43.350	16.240	1.363	4.11e-122
ZSCAN26	ENSG00000197062.11	4.330	9.700	-1.005	9.40e-52
ZNF300P1	ENSG00000197083.11	0.110	2.000	-1.434	1.93e-89
RP11-452G18.2	ENSG00000197149.5	11.670	2.460	1.873	3.83e-109
SND1	ENSG00000197157.10	124.369	40.731	1.587	1.79e-148
HIST1H4J	ENSG00000197238.4	9.140	3.870	1.058	2.87e-37
FAM110D	ENSG00000197245.4	0.530	2.880	-1.343	1.37e-92
SERPINA1	ENSG00000197249.12	120.767	17.310	2.733	5.65e-49
TPSB2	ENSG00000197253.13	9.270	40.411	-2.012	1.24e-38
KANK2	ENSG00000197256.10	20.540	242.223	-3.497	1.50e-76
GUCA2A	ENSG00000197273.3	8.670	20.831	-1.175	1.19e-7
RAD54B	ENSG00000197275.12	4.290	1.240	1.240	1.90e-119
SYNGAP1	ENSG00000197283.12	3.870	11.710	-1.384	4.89e-55
SVIL	ENSG00000197321.14	13.280	161.679	-3.510	1.73e-76
ZNF655	ENSG00000197343.10	15.390	42.399	-1.405	2.96e-74
FBXL22	ENSG00000197361.6	0.770	14.030	-3.086	7.85e-83
HNRNPAB	ENSG00000197451.10	220.295	97.247	1.171	1.23e-63
ZNF695	ENSG00000197472.14	2.820	0.130	1.757	1.47e-181
RPF2	ENSG00000197498.12	27.280	12.160	1.104	1.23e-102
SLC28A3	ENSG00000197506.7	1.610	0.180	1.145	4.15e-56
MIB2	ENSG00000197530.12	20.680	55.050	-1.370	3.38e-48
MYO5A	ENSG00000197535.14	1.370	4.460	-1.204	9.06e-51
HOXA4	ENSG00000197576.13	1.780	7.450	-1.604	2.42e-80
MFAP5	ENSG00000197614.10	3.140	18.750	-2.254	1.79e-63
PARVA	ENSG00000197702.11	21.630	53.630	-1.271	3.21e-26
RPE	ENSG00000197713.14	27.940	12.900	1.058	5.83e-101
S100A10	ENSG00000197747.8	960.405	366.227	1.388	9.13e-48
KLHDC1	ENSG00000197776.7	0.480	3.550	-1.620	1.68e-126
RP1-253P7.4	ENSG00000197815.4	0.160	1.330	-1.006	4.02e-94
OCLN	ENSG00000197822.10	20.269	3.470	2.250	6.10e-70
FAM49A	ENSG00000197872.11	1.170	5.000	-1.467	6.07e-81
TEAD4	ENSG00000197905.8	20.460	4.210	2.042	3.67e-110
ZNF677	ENSG00000197928.10	0.840	7.350	-2.182	1.09e-102
ERO1L	ENSG00000197930.12	37.369	11.410	1.628	1.08e-130
PLCG2	ENSG00000197943.9	2.300	6.150	-1.115	5.40e-44
FCHSD1	ENSG00000197948.10	7.160	16.480	-1.099	1.32e-48
S100A6	ENSG00000197956.9	3598.300	1460.553	1.300	3.24e-46
RPL12	ENSG00000197958.12	2813.011	1384.068	1.023	8.92e-46
VPS13A	ENSG00000197969.11	7.730	16.610	-1.012	4.71e-53
GOLGA6L9	ENSG00000197978.9	1.550	4.820	-1.190	1.11e-65
MRPL42	ENSG00000198015.12	47.861	17.300	1.417	1.07e-123
ENTPD7	ENSG00000198018.6	4.070	1.360	1.103	3.70e-81
RPS4X	ENSG00000198034.10	1713.582	747.225	1.196	3.76e-51
ZNF667	ENSG00000198046.11	0.140	2.170	-1.475	1.95e-47
PRIM1	ENSG00000198056.13	11.060	3.110	1.553	4.47e-151
RP11-347C12.1	ENSG00000198064.13	1.490	5.320	-1.344	8.30e-68
NUP62CL	ENSG00000198088.10	4.880	0.420	2.050	4.42e-143
ZNF248	ENSG00000198105.11	3.670	9.650	-1.189	1.46e-61
TOR4A	ENSG00000198113.2	22.000	3.780	2.267	3.12e-45
LPAR1	ENSG00000198121.13	2.420	13.330	-2.067	6.48e-125
MB	ENSG00000198125.12	2.130	6.920	-1.339	3.03e-32
TFDP1	ENSG00000198176.12	80.543	25.359	1.629	1.85e-166
ZNF334	ENSG00000198185.11	0.140	2.450	-1.598	1.80e-62
SULT1C2	ENSG00000198203.9	3.780	0.270	1.912	1.38e-86
PEG3	ENSG00000198300.12	0.160	3.130	-1.832	6.23e-75
GFPT1	ENSG00000198380.12	38.141	9.120	1.951	2.66e-76
MT1F	ENSG00000198417.6	12.700	5.580	1.058	4.53e-5
NRARP	ENSG00000198435.3	21.450	7.370	1.423	5.76e-22
ZNF568	ENSG00000198453.12	0.570	3.100	-1.385	1.67e-89
TPM2	ENSG00000198467.13	110.361	2081.199	-4.225	2.45e-62
SH3BGRL2	ENSG00000198478.7	26.790	12.890	1.001	4.06e-24
TMA16	ENSG00000198498.9	19.550	8.640	1.092	5.30e-122
MAFK	ENSG00000198517.9	20.740	43.861	-1.045	1.81e-33
PLN	ENSG00000198523.5	2.120	77.230	-4.648	6.55e-92
ZNF28	ENSG00000198538.10	10.420	3.910	1.218	8.18e-77
ITGBL1	ENSG00000198542.13	2.780	0.640	1.205	6.76e-39
ZNF511	ENSG00000198546.14	71.090	31.519	1.149	3.39e-77
WDHD1	ENSG00000198554.11	5.090	1.140	1.509	3.52e-47
ZNF536	ENSG00000198597.8	0.060	1.480	-1.226	2.93e-116
MMP17	ENSG00000198598.6	1.380	4.530	-1.216	1.40e-33
PPIAP22	ENSG00000198618.5	319.638	46.109	2.767	1.86e-185
MDM4	ENSG00000198625.12	3.650	9.900	-1.229	4.86e-76
RYR2	ENSG00000198626.15	0.340	2.110	-1.215	1.03e-39
FAM3D	ENSG00000198643.6	201.396	15.830	3.588	9.14e-33
MT-ND6	ENSG00000198695.2	1379.088	4984.730	-1.853	1.44e-31
MT-CO2	ENSG00000198712.1	14243.340	29517.849	-1.051	2.13e-14
MT-CYB	ENSG00000198727.2	4304.708	15347.328	-1.834	3.46e-38
LDB1	ENSG00000198728.10	21.151	46.529	-1.101	2.06e-43
PPP1R14C	ENSG00000198729.4	11.140	1.550	2.251	1.95e-20
PLXNB3	ENSG00000198753.11	0.700	35.370	-4.419	6.08e-84
EPS8L3	ENSG00000198758.10	115.271	27.429	2.032	4.61e-26
MT-ND2	ENSG00000198763.3	5772.577	17993.646	-1.640	9.60e-31
MT-ND5	ENSG00000198786.2	896.586	3125.561	-1.800	9.13e-50
MUC2	ENSG00000198788.8	35.009	15.230	1.150	3.08e-2
MT-CO1	ENSG00000198804.2	10313.882	23360.766	-1.179	9.10e-10
PNP	ENSG00000198805.11	86.377	27.089	1.637	7.80e-76
GK	ENSG00000198814.12	10.760	3.180	1.492	1.91e-50
ZNF358	ENSG00000198816.5	30.290	65.949	-1.097	9.85e-35
